station,month,year,value
Dwarka,Apr,2013,30
Dwarka,May,2013,26
Dwarka,Jun,2013,30
Dwarka,Jul,2013,31
Dwarka,Aug,2013,30
Dwarka,Sep,2013,30
Dwarka,Oct,2013,31
Dwarka,Nov,2013,30
Dwarka,Dec,2013,31
Dwarka,Jan,2014,31
Dwarka,Feb,2014,28
Dwarka,Mar,2014,31
Dwarka,Apr,2014,30
Dwarka,May,2014,29
Dwarka,Jun,2014,29
Dwarka,Jul,2014,29
Dwarka,Aug,2014,31
Dwarka,Sep,2014,29
Dwarka,Oct,2014,30
Dwarka,Nov,2014,30
Dwarka,Dec,2014,31
Dwarka,Jan,2015,31
Dwarka,Feb,2015,26
Dwarka,Mar,2015,31
Dwarka,Apr,2015,30
Dwarka,May,2015,31
Dwarka,Jun,2015,29
Dwarka,Jul,2015,28
Dwarka,Aug,2015,29
Dwarka,Sep,2015,29
Dwarka,Oct,2015,31
Dwarka,Nov,2015,30
Dwarka,Dec,2015,31
Dwarka,Jan,2016,30
Dwarka,Feb,2016,29
Dwarka,Mar,2016,26
Dwarka,Apr,2016,30
Dwarka,May,2016,22
Dwarka,Jun,2016,18
Dwarka,Jul,2016,31
Dwarka,Aug,2016,26
Dwarka,Sep,2016,25
Dwarka,Oct,2016,31
Dwarka,Nov,2016,29
Dwarka,Dec,2016,26
Dwarka,Jan,2017,23
Dwarka,Feb,2017,28
Dwarka,Mar,2017,31
Dwarka,Apr,2017,30
Dwarka,May,2017,31
Dwarka,Jun,2017,30
Dwarka,Jul,2017,31
Dwarka,Aug,2017,25
Dwarka,Sep,2017,30
Dwarka,Oct,2017,31
Dwarka,Nov,2017,13
Dwarka,Dec,2017,0
IHBAS,Jan,2011,31
IHBAS,Feb,2011,28
IHBAS,Mar,2011,31
IHBAS,Apr,2011,30
IHBAS,May,2011,30
IHBAS,Jun,2011,28
IHBAS,Jul,2011,31
IHBAS,Aug,2011,31
IHBAS,Sep,2011,21
IHBAS,Oct,2011,31
IHBAS,Nov,2011,30
IHBAS,Dec,2011,30
IHBAS,Jan,2012,31
IHBAS,Feb,2012,29
IHBAS,Mar,2012,31
IHBAS,Apr,2012,26
IHBAS,May,2012,30
IHBAS,Jun,2012,30
IHBAS,Jul,2012,26
IHBAS,Aug,2012,24
IHBAS,Sep,2012,30
IHBAS,Oct,2012,29
IHBAS,Nov,2012,30
IHBAS,Dec,2012,31
IHBAS,Jan,2013,31
IHBAS,Feb,2013,28
IHBAS,Mar,2013,31
IHBAS,Apr,2013,30
IHBAS,May,2013,31
IHBAS,Jun,2013,29
IHBAS,Jul,2013,31
IHBAS,Aug,2013,31
IHBAS,Sep,2013,30
IHBAS,Oct,2013,31
IHBAS,Nov,2013,28
IHBAS,Dec,2013,31
IHBAS,Jan,2014,31
IHBAS,Feb,2014,28
IHBAS,Mar,2014,31
IHBAS,Apr,2014,29
IHBAS,May,2014,30
IHBAS,Jun,2014,24
IHBAS,Jul,2014,31
IHBAS,Aug,2014,30
IHBAS,Sep,2014,30
IHBAS,Oct,2014,31
IHBAS,Nov,2014,30
IHBAS,Dec,2014,31
IHBAS,Jan,2015,31
IHBAS,Feb,2015,28
IHBAS,Mar,2015,31
IHBAS,Apr,2015,30
IHBAS,May,2015,22
IHBAS,Jun,2015,0
IHBAS,Jul,2015,0
IHBAS,Aug,2015,0
IHBAS,Sep,2015,0
IHBAS,Oct,2015,0
IHBAS,Nov,2015,22
IHBAS,Dec,2015,30
IHBAS,Jan,2016,30
IHBAS,Feb,2016,25
IHBAS,Mar,2016,0
IHBAS,Apr,2016,18
IHBAS,May,2016,30
IHBAS,Jun,2016,28
IHBAS,Jul,2016,26
IHBAS,Aug,2016,26
IHBAS,Sep,2016,29
IHBAS,Oct,2016,31
IHBAS,Nov,2016,30
IHBAS,Dec,2016,31
IHBAS,Jan,2017,31
IHBAS,Feb,2017,28
IHBAS,Mar,2017,31
IHBAS,Apr,2017,30
IHBAS,May,2017,30
IHBAS,Jun,2017,30
IHBAS,Jul,2017,27
IHBAS,Aug,2017,29
IHBAS,Sep,2017,30
IHBAS,Oct,2017,31
IHBAS,Nov,2017,13
IHBAS,Dec,2017,0
R K Puram,Jan,2011,0
R K Puram,Feb,2011,0
R K Puram,Mar,2011,0
R K Puram,Apr,2011,9
R K Puram,May,2011,25
R K Puram,Jun,2011,25
R K Puram,Jul,2011,26
R K Puram,Aug,2011,1
R K Puram,Sep,2011,23
R K Puram,Oct,2011,28
R K Puram,Nov,2011,2
R K Puram,Dec,2011,0
R K Puram,Jan,2012,21
R K Puram,Feb,2012,24
R K Puram,Mar,2012,28
R K Puram,Apr,2012,26
R K Puram,May,2012,27
R K Puram,Jun,2012,0
R K Puram,Jul,2012,20
R K Puram,Aug,2012,30
R K Puram,Sep,2012,24
R K Puram,Oct,2012,29
R K Puram,Nov,2012,28
R K Puram,Dec,2012,30
R K Puram,Jan,2013,29
R K Puram,Feb,2013,26
R K Puram,Mar,2013,11
R K Puram,Apr,2013,18
R K Puram,May,2013,0
R K Puram,Jun,2013,0
R K Puram,Jul,2013,0
R K Puram,Aug,2013,0
R K Puram,Sep,2013,0
R K Puram,Oct,2013,0
R K Puram,Nov,2013,0
R K Puram,Dec,2013,0
R K Puram,Jan,2014,0
R K Puram,Feb,2014,0
R K Puram,Mar,2014,0
R K Puram,Apr,2014,0
R K Puram,May,2014,0
R K Puram,Jun,2014,0
R K Puram,Jul,2014,0
R K Puram,Aug,2014,0
R K Puram,Sep,2014,0
R K Puram,Oct,2014,0
R K Puram,Nov,2014,0
R K Puram,Dec,2014,0
R K Puram,Jan,2015,0
R K Puram,Feb,2015,0
R K Puram,Mar,2015,0
R K Puram,Apr,2015,24
R K Puram,May,2015,31
R K Puram,Jun,2015,30
R K Puram,Jul,2015,31
R K Puram,Aug,2015,31
R K Puram,Sep,2015,29
R K Puram,Oct,2015,29
R K Puram,Nov,2015,30
R K Puram,Dec,2015,24
R K Puram,Jan,2016,31
R K Puram,Feb,2016,29
R K Puram,Mar,2016,29
R K Puram,Apr,2016,26
R K Puram,May,2016,29
R K Puram,Jun,2016,29
R K Puram,Jul,2016,31
R K Puram,Aug,2016,27
R K Puram,Sep,2016,30
R K Puram,Oct,2016,31
R K Puram,Nov,2016,30
R K Puram,Dec,2016,31
R K Puram,Jan,2017,29
R K Puram,Feb,2017,26
R K Puram,Mar,2017,22
R K Puram,Apr,2017,19
R K Puram,May,2017,31
R K Puram,Jun,2017,30
R K Puram,Jul,2017,31
R K Puram,Aug,2017,31
R K Puram,Sep,2017,30
R K Puram,Oct,2017,31
R K Puram,Nov,2017,13
R K Puram,Dec,2017,0
Mandir Marg,Jan,2011,0
Mandir Marg,Feb,2011,0
Mandir Marg,Mar,2011,0
Mandir Marg,Apr,2011,8
Mandir Marg,May,2011,29
Mandir Marg,Jun,2011,26
Mandir Marg,Jul,2011,26
Mandir Marg,Aug,2011,1
Mandir Marg,Sep,2011,23
Mandir Marg,Oct,2011,28
Mandir Marg,Nov,2011,2
Mandir Marg,Dec,2011,0
Mandir Marg,Jan,2012,21
Mandir Marg,Feb,2012,24
Mandir Marg,Mar,2012,28
Mandir Marg,Apr,2012,25
Mandir Marg,May,2012,25
Mandir Marg,Jun,2012,0
Mandir Marg,Jul,2012,21
Mandir Marg,Aug,2012,31
Mandir Marg,Sep,2012,24
Mandir Marg,Oct,2012,29
Mandir Marg,Nov,2012,28
Mandir Marg,Dec,2012,31
Mandir Marg,Jan,2013,29
Mandir Marg,Feb,2013,26
Mandir Marg,Mar,2013,11
Mandir Marg,Apr,2013,18
Mandir Marg,May,2013,0
Mandir Marg,Jun,2013,0
Mandir Marg,Jul,2013,0
